Rattachement                 Trigramme       Nom développé
DCO/ScT/SVI       SVI   service Sciences de la vie Sciences de l'ingénieur
DDC               DDC   direction de la Diffusion culturelle
DDC/DED           DED   département des Éditions
DDC/DED/SCO       SCO   service commercial
DDC/DED/SEL       SEL   service de l'Édition des livres
DDC/DED/SEL/CIC   CIC   cellule iconographique
DDC/DED/SMU       SMU   service des Éditions multimédias
DDC/DEM           DEM   département des Expositions et des manifestations
DDC/DEM/EXP       EXP   service des Expositions
DDC/DEM/MNF       MNF   service des Manifestations

DDC/DPM           DPM   département des Publics et de la médiation
DDC/DPM/ACC       ACC   service de l'Accueil général
DDC/DPM/PGQ       PGQ   service de l'Action pédagogique
DDC/SCG           SCG   service de Coordination générale

DGE               DGE   direction générale
DGE/ARC           ARC   mission pour la gestion de la production documentaire et des archives
DGE/MCI           MCI   mission de Communication interne
DGE/PRI           PRI   projet Richelieu
DME           DME   délégation au Mécénat
DRI           DRI   délégation aux Relations internationales
DSG           DSG   délégation à la Stratégie et à la recherche
DSR           DSR   direction des Services et des réseaux
DSR/CAF       CAF   mission de Coordination administrative et financière
DSR/CAF/BBF   BBF   bureau Budget et finances
DSR/CAF/BRH   BRH   bureau des Ressources humaines
DSR/DCP       DCP   département de la Coopération
DSR/DCP/CCF   CCF   service CCFr
DSR/DCP/CNG   CNG   service de la Coopération numérique et de Gallica
DSR/DCP/MCR   MCR   mission Coopération régionale communication formation
DSR/DCP/PAG   PAG   service Pôles associés Gallica
DSR/DDL       DDL   département du Dépôt légal
DSR/DDL/BFL   BFL   service de la Bibliographie nationale française/livres
DSR/DDL/BFP   BFP   service de la Bibliographie nationale française/périodiques
DSR/DDL/DLN   DLN   service Dépôt légal numérique
DSR/DDL/ECH   ECH   service des Échanges
DSR/DDL/GDL   GDL   service Gestion des livres
DSR/DDL/GDP   GDP   service Gestion des périodiques
DSR/DDL/SRD   SRD   service de la Redistribution documentaire
DSR/DRE       DRE   département de la Reproduction
DSR/DRE/AAF   AAF   service des Affaires administratives et financières
DSR/DRE/CPR   CPR   service Commandes et production Richelieu
DSR/DRE/CPT   CPT   service Commandes et production Tolbiac
DSR/DRE/SCL   SCL   service Clients
DSR/DRE/SPR   SPR   service Production
DSR/DRE/SRC   SRC   service Redevance comptabilité
DSR/DSC       DSC   département de la Conservation
DSR/DSC/BSG   BSG   centre technique de Bussy Saint Georges
DSR/DSC/JLT   JLT   centre Joël-Le-Theule (Sablé)
DSR/DSC/NUM   NUM   service Numérisation
DSR/DSC/RES   RES   service Restauration
DSR/DSC/SEC   SEC   service central
DSR/DSC/SET   SET   service technique
DSR/DSI       DSI   département des Systèmes d'information
DSR/DSI/MCP   MCP   mission Coordination et projets
DSR/DSI/SED       SED   service Études et développement
DSR/DSI/SED/B2I   B2I   bureau Ingénierie et intégration
DSR/DSI/SED/BCD   BCD   bureau Conception et développement
DSR/DSI/SED/BEA   BEA   bureau Études et accompagnement
DSR/DSI/SED/CBC   CBC   cellule Bureautique communicante
DSR/DSI/SED/CDB   CDB   cellule Données bibliothéconomiques
DSR/DSI/SED/CRH   CRH   cellule Ressources humaines
DSR/DSI/SSP       SSP   service Support et production
DSR/DSI/SSP/BAC   BAC   bureau d'Assistance centralisée
DSR/DSI/SSP/BCL   BCL   bureau Coordination et logistique
DSR/DSI/SSP/BSA   BSA   bureau des Services applicatifs
DSR/DSI/SSP/BSI   BSI   bureau Sécurité et infrastructures
DSR/IBN           IBN   département de l'Information bibliographique et numérique
DSR/IBN/SCM       SCM   service Coordination et administration des métadonnées
DSR/IBN/SCM/PDA   PDA   pôle Données d'autorité
DSR/IBN/SCM/PDB   PDB   pôle Données bibliographiques
DSR/IBN/SPD       SPD   service Prospective et services documentaires
DSR/IBN/SPD/PDS   PDS   pôle Diffusion des données et services
DSR/IBN/SPD/PFP   PFP   pôle Communication et formation professionnelles
DSR/IBN/SPD/PMF   PMF   pôle Modélisation fonctionnelle
DSR/MET           MET   département des Métadonnées
DSR/MET/SDM       SDM   service Diffusion des métadonnées
DSR/MET/SIM       SIM   service Ingénierie des métadonnées
DSR/MET/SRE       SRE   service des Référentiels
PDT               PDT   Présidence                                                                                    
