Format	Zone	Sous-zone	Position(s)	Référentiel	Lignes	Type
B	041	$f		CodeLangue	1093	A
B	041	$g		CodeLangue	1093	A
B	041	$h		CodeLangue	1093	A
B	041	$i		CodeLangue	1093	A
B	042	$d	0103	DegreLongitude	181	A
B	042	$d	0405	MinutesSecondes	60	A
B	042	$d	0607	MinutesSecondes	60	A
B	042	$e	0103	DegreLongitude	181	A
B	042	$e	0405	MinutesSecondes	60	A
B	042	$e	0607	MinutesSecondes	60	A
B	042	$f	0103	DegreLatitude	91	A
B	042	$f	0405	MinutesSecondes	60	A
B	042	$f	0607	MinutesSecondes	60	A
B	042	$g	0103	DegreLatitude	91	A
B	042	$g	0405	MinutesSecondes	60	A
B	042	$g	0607	MinutesSecondes	60	A
B	042	$u		B042zu	15	A
B	043	$a		RepreRelief	13	A
B	043	$b		Projection	32	A
B	043	$c		Meridien	39	A
B	047	$a		Ecriture	33	A
B	047	$c		TranscrNombres	26	A
B	048	$a	0001	DistributionExecution	109	B
B	048	$b	0001	DistributionExecution	109	B
B	050	$a		B050sza	58	A
B	050	$c		B050szc	34	A
B	072	$a		CadreGeoActuel	832	A
B	072	$b		CadreGeoModerne	en cours	A
B	100	$4		CodeFonctionAuteur	193	A
B	101	$4		CodeFonctionInter	199	A
B	110	$4		CodeFonctionAuteur	193	A
B	111	$4		CodeFonctionInter	199	A
B	250	$u		Nombre	701	A
B	285	$f		B285zf	10	C
B	285	$g		B285zg	25	C
B	285	$j		B285zj	149	C
B	285	$k		B285zk	17	C
B	314	$p		CodePays	302	A
B	316	$p		CodePays	302	A
B	522	$g		TonaliteMode	43	C
B	522	$m		Clef	21	A
B	620	$a		B620za	61	C
B	626	$a		B626za	61	C
B	630	$a		B630za	60	A
B	640	$a		B640za	85	A
B	640	$b		B640zb	21	A
B	640	$c		B640zc	113	A
B	640	$d		B640zd	32	A
B	641	$a		B641za	99	C
B	641	$z		B641zz	18	C
B	645	$a		B645za	10	A
B	645	$b		B645zb	10	A
B	645	$c		B645zc	26	A
B	645	$d		B645zd	53	A
B	645	$e		B645ze	5	A
B	645	$f		B645zf	2	A
B	645	$g		B645zg	14	A
B	645	$h		B645zh	1	A
B	645	$i		B645zi	5	A
B	646	$a		B646za	109	C
B	647	$a		B647za	61	C
B	680	$b		CadreClassLivres	71	A
B	680	$c		CadreClassPub	114	A
B	680	$d		CadreClassNum	52	A
B	680	$e		CadreClassMus	37	A
B	680	$f		CadreClassCartographie	48	A
B	680	$g		CadreClassAV	47	A
B	690	$a		CodeProjet	298	A
B	690	$f		TypoQuebec	11	A
B	690	$g		CadreClassQuebec	251	A
B	690	$z		DepServBnF	5	A
B	700	$4		CodeFonctionAuteur	193	A
B	701	$4		CodeFonctionInter	199	A
B	702	$4		CodeFonctionColl	53	A
B	710	$4		CodeFonctionAuteur	193	A
B	711	$4		CodeFonctionInter	199	A
B	712	$4		CodeFonctionColl	53	A
B	720	$4		CodeFonctionDistr	34	A
B	721	$4		CodeFonctionDistr	34	A
B	722	$4		CodeFonctionDistr	34	A
B	725	$4		CodeFonctionDistr	34	A
B	726	$4		CodeFonctionDistr	34	A
B	727	$4		CodeFonctionDistr	34	A
B	730	$4		CodeFonctionDistr	34	A
B	731	$4		CodeFonctionDistr	34	A
B	732	$4		CodeFonctionDistr	34	A
B	735	$4		CodeFonctionDistr	34	A
B	736	$4		CodeFonctionDistr	34	A
B	737	$4		CodeFonctionDistr	34	A
B	917	$o		SourceNum1	17	A
B	919	$o		SourceNum2		A
B	934	$c		BibExterieure		C
B	998	$o		SourceNum1	17	A
