Code;Libellé;Date (M);Type;Types de notices(M);Usages (zones et sous zones) (M);Nom du référentiel;Nom_usage/web;Notes internes au document;Règle de contrôle;NORME Externe;Modalité de mise à jour;Valeur fixe;Responsable;Commentaire;CODE ou LISTE
Datos;Référentiel sujets de la Bibliothèque nationale d'Espagne;11/07/2016;;A;A 622 $v;A622zv;;;;;;;;;CODE
Dewey ;Classification décimale Dewey;11/07/2016;;A;A 622 $v;A622zv;;;;;;;;;CODE
Dournon ;Classification Dournon;11/07/2016;;A;A 622 $v;A622zv;;;;;;;;;CODE
ECNumber ;Enzyme Commission number;11/07/2016;;A;A 622 $v;A622zv;;;;;;;;;CODE
GeoNames;Base de données de lieux géographiques GeoNames;11/07/2016;;A;A 622 $v;A622zv;;;;;;;;;CODE
GND;Fichier d'autorité intégré de la Bibliothèque nationale allemande;23/12/2016;;A;A 622 $v;A622zv;;;;;;;;;CODE
H/S;Classification Hornbostel-Sachs;;;A;A 622 $v;A622zv;;;;;;;;;CODE
Laforte;Classification chansons françaises Conrad Laforte;;;A;A 622 $v;A622zv;;;;;;;;;CODE
LCA;Library of Congress Authorities;;;A;A 622 $v;A622zv;;;;;;;;;CODE
LCGFT;Library of Congress Genre/Form Terms;31/01/2017;;A;A 622 $v;A622zv;;;;;;;;;CODE
LCMP;Library of Congress Medium of Performance Thesaurus for Music;31/01/2017;;A;A 622 $v;A622zv;;;;;;;;;CODE
LCSH;Library of Congress Subject Headings;11/07/2016;;A;A 622 $v;A622zv;;;;;;;;;CODE
MeSH;Medical Subject Headings;11/07/2016;;A;A 622 $v;A622zv;;;;;;;;;CODE
MSC;Mathematics Subject Classification;31/01/2017;;A;A 622 $v;A622zv;;;;;;;;;CODE
RVMLaval;Répertoire Vedettes-Matière de l’Université Laval (Québec);11/07/2016;;A;A 622 $v;A622zv;;;;;;;;;CODE
ThésaurusW;Thésaurus édité par la Direction des Archives de France;11/07/2016;;A;A 622 $v;A622zv;;;;;;;;;CODE
TSciences;Terminologie de l’INIST, Termsciences;11/07/2016;;A;A 622 $v;A622zv;;;;;;;;;CODE
abr0;Abrogation; 23/10/2015;;A;A 609 $r;A609zr;;;;;;;;;CODE
ach0;Achèvement; 23/10/2015;;A;A 609 $r;A609zr;;;;;;;;;CODE
ado0;Adoption; 23/10/2015;;A;A 609 $r;A609zr;;;;;;;;;CODE
ann0;Annonce de publication; 23/10/2015;;A;A 609 $r;A609zr;;;;;;;;;CODE
arr0;Arrangement; 23/10/2015;;A;A 609 $r;A609zr;;;;;;;;;CODE
aut0;Autre date (à préciser en $t); 23/10/2015;;A;A 609 $r;A609zr;;;;;;;;;CODE
com0;Composition; 23/10/2015;;A;A 609 $r;A609zr;;;;;;;;;CODE
cop0;Copyright; 23/10/2015;;A;A 609 $r;A609zr;;;;;;;;;CODE
cre0;Création (élaboration); 23/10/2015;;A;A 609 $r;A609zr;;;;;;;;;CODE
dif9;Dernière diffusion (radio, télévision); 23/10/2015;;A;A 609 $r;A609zr;;;;;;;;;CODE
dif1;Première diffusion (radio, télévision); 23/10/2015;;A;A 609 $r;A609zr;;;;;;;;;CODE
edi0;Edition; 23/10/2015;;A;A 609 $r;A609zr;;;;;;;;;CODE
edi1;Première édition; 23/10/2015;;A;A 609 $r;A609zr;;;;;;;;;CODE
enr0;Enregistrement (radio); 23/10/2015;;A;A 609 $r;A609zr;;;;;;;;;CODE
ent0;Entrée en vigueur; 23/10/2015;;A;A 609 $r;A609zr;;;;;;;;;CODE
exe1;Première exécution; 23/10/2015;;A;A 609 $r;A609zr;;;;;;;;;CODE
exp1;Première exposition; 23/10/2015;;A;A 609 $r;A609zr;;;;;;;;;CODE
ina0;Inauguration; 23/10/2015;;A;A 609 $r;A609zr;;;;;;;;;CODE
ins0;Installation; 23/10/2015;;A;A 609 $r;A609zr;;;;;;;;;CODE
dis0;Mise à disposition; 23/10/2015;;A;A 609 $r;A609zr;;;;;;;;;CODE
dis1;Première mise à disposition; 23/10/2015;;A;A 609 $r;A609zr;;;;;;;;;CODE
mon0;Montage; 23/10/2015;;A;A 609 $r;A609zr;;;;;;;;;CODE
not0;Notation chorégraphique; 23/10/2015;;A;A 609 $r;A609zr;;;;;;;;;CODE
orc0;Orchestration; 23/10/2015;;A;A 609 $r;A609zr;;;;;;;;;CODE
pri0;Prise de vue; 23/10/2015;;A;A 609 $r;A609zr;;;;;;;;;CODE
prv0;Privilège; 23/10/2015;;A;A 609 $r;A609zr;;;;;;;;;CODE
pro0;Promulgation; 23/10/2015;;A;A 609 $r;A609zr;;;;;;;;;CODE
pub1;Première publication (photographie); 23/10/2015;;A;A 609 $r;A609zr;;;;;;;;;CODE
rat0;Ratification; 23/10/2015;;A;A 609 $r;A609zr;;;;;;;;;CODE
rea0;Réalisation (objet d’art); 23/10/2015;;A;A 609 $r;A609zr;;;;;;;;;CODE
red0;Rédaction; 23/10/2015;;A;A 609 $r;A609zr;;;;;;;;;CODE
rep1;Première représentation; 23/10/2015;;A;A 609 $r;A609zr;;;;;;;;;CODE
rcr1;Première représentation (création); 23/10/2015;;A;A 609 $r;A609zr;;;;;;;;;CODE
rev0;Révision; 23/10/2015;;A;A 609 $r;A609zr;;;;;;;;;CODE
sig0;Signature; 23/10/2015;;A;A 609 $r;A609zr;;;;;;;;;CODE
sor0;Sortie en salle; 23/10/2015;;A;A 609 $r;A609zr;;;;;;;;;CODE
sor1;Première sortie en salle; 23/10/2015;;A;A 609 $r;A609zr;;;;;;;;;CODE
sou0;Soutenance (thèse); 23/10/2015;;A;A 609 $r;A609zr;;;;;;;;;CODE
tou0;Tournage; 23/10/2015;;A;A 609 $r;A609zr;;;;;;;;;CODE
tra0;Traduction; 23/10/2015;;A;A 609 $r;A609zr;;;;;;;;;CODE
ver0;Version; 23/10/2015;;A;A 609 $r;A609zr;;;;;;;;;CODE
architecture;architecture;;;A;A 650 $a;A650za;;;;;;;;;LISTE
dessin;dessin;;;A;A 650 $a;A650za;;;;;;;;;LISTE
gravure;gravure;;;A;A 650 $a;A650za;;;;;;;;;LISTE
lithographie;lithographie;;;A;A 650 $a;A650za;;;;;;;;;LISTE
peinture;peinture;;;A;A 650 $a;A650za;;;;;;;;;LISTE
photographie;photographie;;;A;A 650 $a;A650za;;;;;;;;;LISTE
sculpture;sculpture;;;A;A 650 $a;A650za;;;;;;;;;LISTE
sérigraphie;sérigraphie;;;A;A 650 $a;A650za;;;;;;;;;LISTE
AGORHA;INHA;11/07/2016;;A;A 662 $a;A662za;;;;;;;;;CODE
ARCADE;Base des œuvres d'art acquises, commandées ou gérées par l'État et les collectivités territoriales;11/07/2016;;A;A 662 $a;A662za;;;;;;;;;CODE
ARCHIM;Images numérisées de documents d’archives (Archives nationales);11/07/2016;;A;A 662 $a;A662za;;;;;;;;;CODE
CCMAA;Comité de Conservation des monuments de l’Art Arabe;11/07/2016;;A;A 662 $a;A662za;;;;;;;;;CODE
Joconde;Portail des collections des Musées de France;11/07/2016;;A;A 662 $a;A662za;;;;;;;;;CODE
Mérimée;Base du patrimoine monumental français (Ministère de la culture);11/07/2016;;A;A 662 $a;A662za;;;;;;;;;CODE
MusFr;Numéro d’inventaire des Musées de France ;11/07/2016;;A;A 662 $a;A662za;;;;;;;;;CODE
Nomisma;Identifiant dans l'ontologie numismatique nomisma.org;11/07/2016;;A;A 662 $a;A662za;;;;;;;;;CODE
Palissy;Base du patrimoine mobilier français (Ministère de la culture);11/07/2016;;A;A 662 $a;A662za;;;;;;;;;CODE
RMN;Réunion des Musées nationaux;11/07/2016;;A;A 662 $a;A662za;;;;;;;;;CODE
RNA;Répertoire National des Associations;11/07/2016;;A;A 662 $a;A662za;;;;;;;;;CODE
MONx03;MON sans PEX, d'édition, pouvant regrouper plusieurs états;"16/09/2016; 18/022013";;B;B 010 $a;B010za;;;;;;;;;CODE
MONx06;MON sans PEX, dont la présence dans le catalogue est justifiée par l'appartenance à un projet;"16/09/2016; 18/022014";;B;B 010 $a;B010za;;;;;;;;;CODE
MONx15;MON sans PEX, de n° de PER, liée à un PER, avec ANLs pour tout ou partie des articles du n°;"16/09/2016; 18/022015";;B;B 010 $a;B010za;;;;;;;;;CODE
ha;Échelle comprise entre 1:1 et 1:499;;;B;B 042 $u;B042zu;Echelle;;;;;;;;CODE
hb;Échelle comprise entre 1:500 et 1:1999;;;B;B 042 $u;B042zu;Echelle;;;;;;;;CODE
hc;Échelle comprise entre 1:2000 et 1:4999;;;B;B 042 $u;B042zu;Echelle;;;;;;;;CODE
hd;Échelle comprise entre 1:5000 et 1:9999;;;B;B 042 $u;B042zu;Echelle;;;;;;;;CODE
he;Échelle comprise entre 1:10 000 et 1:19 999;;;B;B 042 $u;B042zu;Echelle;;;;;;;;CODE
hf;Échelle comprise entre 1:20 000 et 1:49 999;;;B;B 042 $u;B042zu;Echelle;;;;;;;;CODE
hg;Échelle comprise entre 1:50 000 et 1:79 999;;;B;B 042 $u;B042zu;Echelle;;;;;;;;CODE
hi;Échelle comprise entre 1:80 000 et 1:99 999;;;B;B 042 $u;B042zu;Echelle;;;;;;;;CODE
hj;Échelle comprise entre 1:100 000 et 1:249 999;;;B;B 042 $u;B042zu;Echelle;;;;;;;;CODE
hk;Échelle comprise entre 1:250 000 et 1:499 999;;;B;B 042 $u;B042zu;Echelle;;;;;;;;CODE
hl;Échelle comprise entre 1:500 000 et 1:999 999;;;B;B 042 $u;B042zu;Echelle;;;;;;;;CODE
hm;Échelle comprise entre 1:1 000 000 et 1:4 999 999;;;B;B 042 $u;B042zu;Echelle;;;;;;;;CODE
hn;Échelle comprise entre 1:5 000 000 et 1:9 999 999;;;B;B 042 $u;B042zu;Echelle;;;;;;;;CODE
ho;Échelle comprise entre 1:10 000 000 et 1:49 999 999;;;B;B 042 $u;B042zu;Echelle;;;;;;;;CODE
hp;Échelle au-delà de 1:50 000 000;;;B;B 042 $u;B042zu;Echelle;;;;;;;;CODE
a01;bloc-notes;27/11/2012;;B;B 050 $a;B050sza;Types de support ;;;;;;;;CODE
a02;brochure;27/11/2012;;B;B 050 $a;B050sza;Types de support ;;;;;;;;CODE
a03;classeur à feuillets mobiles;27/11/2012;;B;B 050 $a;B050sza;Types de support ;;;;;;;;CODE
a04;feuille;27/11/2012;;B;B 050 $a;B050sza;Types de support ;;;;;;;;CODE
a05;fiche;27/11/2012;;B;B 050 $a;B050sza;Types de support ;;;;;;;;CODE
a06;livre;27/11/2012;;B;B 050 $a;B050sza;Types de support ;;;;;;;;CODE
a07;braille;27/11/2012;;B;B 050 $a;B050sza;Types de support ;;;;;;;;CODE
a08;affiche-texte;27/11/2012;;B;B 050 $a;B050sza;Types de support ;;;;;;;;CODE
a09;fichier pédagogique;27/11/2012;;B;B 050 $a;B050sza;Types de support ;;;;;;;;CODE
c01;musique imprimée;27/11/2012;;B;B 050 $a;B050sza;Types de support ;;;;;;;;CODE
e01;carte géographique;27/11/2012;;B;B 050 $a;B050sza;Types de support ;;;;;;;;CODE
g01;bande magnétique audio analogique;27/11/2012;;B;B 050 $a;B050sza;Types de support ;;;;;;;;CODE
g02;cassette audio analogique;27/11/2012;;B;B 050 $a;B050sza;Types de support ;;;;;;;;CODE
g03;disque compact;27/11/2012;;B;B 050 $a;B050sza;Types de support ;;;;;;;;CODE
g04;disque microsillon;27/11/2012;;B;B 050 $a;B050sza;Types de support ;;;;;;;;CODE
g05;cassette audio numérique;27/11/2012;;B;B 050 $a;B050sza;Types de support ;;;;;;;;CODE
g06;feuille acoustique;27/11/2012;;B;B 050 $a;B050sza;Types de support ;;;;;;;;CODE
g07;minidisc;27/11/2012;;B;B 050 $a;B050sza;Types de support ;;;;;;;;CODE
g08;DVD audio;27/11/2012;;B;B 050 $a;B050sza;Types de support ;;;;;;;;CODE
g09;SACD;27/11/2012;;B;B 050 $a;B050sza;Types de support ;;;;;;;;CODE
g10;cartouche audio;27/11/2012;;B;B 050 $a;B050sza;Types de support ;;;;;;;;CODE
g11;bande magnétique audio numérique;27/11/2012;;B;B 050 $a;B050sza;Types de support ;;;;;;;;CODE
g12;disque à gravure directe;27/11/2012;;B;B 050 $a;B050sza;Types de support ;;;;;;;;CODE
g13;CD-R audio;27/11/2012;;B;B 050 $a;B050sza;Types de support ;;;;;;;;CODE
h01;film;27/11/2012;;B;B 050 $a;B050sza;Types de support ;;;;;;;;CODE
h02;cassette vidéo;27/11/2012;;B;B 050 $a;B050sza;Types de support ;;;;;;;;CODE
h03;cassette vidéo numérique;27/11/2012;;B;B 050 $a;B050sza;Types de support ;;;;;;;;CODE
h05;CD-TV;27/11/2012;;B;B 050 $a;B050sza;Types de support ;;;;;;;;CODE
h06;disque compact vidéo (12 cm);27/11/2012;;B;B 050 $a;B050sza;Types de support ;;;;;;;;CODE
h07;disque vidéo;27/11/2012;;B;B 050 $a;B050sza;Types de support ;;;;;;;;CODE
h09;DVD vidéo;27/11/2012;;B;B 050 $a;B050sza;Types de support ;;;;;;;;CODE
h10;bande vidéo;27/11/2012;;B;B 050 $a;B050sza;Types de support ;;;;;;;;CODE
h11;Blu-ray;27/11/2012;;B;B 050 $a;B050sza;Types de support ;;;;;;;;CODE
h12;HD DVD;27/11/2012;;B;B 050 $a;B050sza;Types de support ;;;;;;;;CODE
i01;image non spécifiée;27/11/2012;;B;B 050 $a;B050sza;Types de support ;;;;;;;;CODE
i02;affiche;27/11/2012;;B;B 050 $a;B050sza;Types de support ;;;;;;;;CODE
i03;carte;27/11/2012;;B;B 050 $a;B050sza;Types de support ;;;;;;;;CODE
i04;diapositive;27/11/2012;;B;B 050 $a;B050sza;Types de support ;;;;;;;;CODE
i05;planche;27/11/2012;;B;B 050 $a;B050sza;Types de support ;;;;;;;;CODE
i06;photographie;27/11/2012;;B;B 050 $a;B050sza;Types de support ;;;;;;;;CODE
i07;positif;27/11/2012;;B;B 050 $a;B050sza;Types de support ;;;;;;;;CODE
i08;film fixe;27/11/2012;;B;B 050 $a;B050sza;Types de support ;;;;;;;;CODE
i09;transparent;27/11/2012;;B;B 050 $a;B050sza;Types de support ;;;;;;;;CODE
i10;carte postale;27/11/2012;;B;B 050 $a;B050sza;Types de support ;;;;;;;;CODE
m01;microforme;27/11/2012;;B;B 050 $a;B050sza;Types de support ;;;;;;;;CODE
m02;microfiche;27/11/2012;;B;B 050 $a;B050sza;Types de support ;;;;;;;;CODE
m03;microfilm;27/11/2012;;B;B 050 $a;B050sza;Types de support ;;;;;;;;CODE
p01;objet non spécifié;27/11/2012;;B;B 050 $a;B050sza;Types de support ;;;;;;;;CODE
p02;jeu non vidéo;27/11/2012;;B;B 050 $a;B050sza;Types de support ;;;;;;;;CODE
s01;cassette de bande magnétique numérique (informatique);27/11/2012;;B;B 050 $a;B050sza;Types de support ;;;;;;;;CODE
s02;disquette;27/11/2012;;B;B 050 $a;B050sza;Types de support ;;;;;;;;CODE
s03;cédérom;27/11/2012;;B;B 050 $a;B050sza;Types de support ;;;;;;;;CODE
s04;cédérom dédié;27/11/2012;;B;B 050 $a;B050sza;Types de support ;;;;;;;;CODE
s05;CD photo;27/11/2012;;B;B 050 $a;B050sza;Types de support ;;;;;;;;CODE
s06;CD-I;27/11/2012;;B;B 050 $a;B050sza;Types de support ;;;;;;;;CODE
s07;CD-Plus;27/11/2012;;B;B 050 $a;B050sza;Types de support ;;;;;;;;CODE
s08;DVD-ROM;27/11/2012;;B;B 050 $a;B050sza;Types de support ;;;;;;;;CODE
s09;DON;27/11/2012;;B;B 050 $a;B050sza;Types de support ;;;;;;;;CODE
s10;bande perforée;27/11/2012;;B;B 050 $a;B050sza;Types de support ;;;;;;;;CODE
s11;DVD-ROM dédié;27/11/2012;;B;B 050 $a;B050sza;Types de support ;;;;;;;;CODE
s12;cartouche de jeux vidéo;27/11/2012;;B;B 050 $a;B050sza;Types de support ;;;;;;;;CODE
s13;CD-R informatique;27/11/2012;;B;B 050 $a;B050sza;Types de support ;;;;;;;;CODE
s14;DVD-R informatique;27/11/2012;;B;B 050 $a;B050sza;Types de support ;;;;;;;;CODE
s15;UMD;27/11/2012;;B;B 050 $a;B050sza;Types de support ;;;;;;;;CODE
s16;Blu-ray dédié;27/11/2012;;B;B 050 $a;B050sza;Types de support ;;;;;;;;CODE
s17;DualDisc;27/11/2012;;B;B 050 $a;B050sza;Types de support ;;;;;;;;CODE
s18;mémoire informatique;27/11/2012;;B;B 050 $a;B050sza;Types de support ;;;;;;;;CODE
s19;fichier numérique;27/11/2012;;B;B 050 $a;B050sza;Types de support ;;;;;;;;CODE
1#pouce;1 pouce;27/11/2012;;B;B 050 $c;B050szc;Formats ;;;;;;;;CODE
12#cm;12 cm;27/11/2012;;B;B 050 $c;B050szc;Formats ;;;;;;;;CODE
16#mm;16 mm;27/11/2012;;B;B 050 $c;B050szc;Formats ;;;;;;;;CODE
16#t;16 tours;27/11/2012;;B;B 050 $c;B050szc;Formats ;;;;;;;;CODE
20#cm;20 cm;27/11/2012;;B;B 050 $c;B050szc;Formats ;;;;;;;;CODE
"3""#1/2";3,5 pouces;27/11/2012;;B;B 050 $c;B050szc;Formats ;;;;;;;;CODE
30#cm;30 cm;27/11/2012;;B;B 050 $c;B050szc;Formats ;;;;;;;;CODE
35#mm;35 mm;27/11/2012;;B;B 050 $c;B050szc;Formats ;;;;;;;;CODE
"5""#1/4";5,25 pouces;27/11/2012;;B;B 050 $c;B050szc;Formats ;;;;;;;;CODE
8#cm;8 cm;27/11/2012;;B;B 050 $c;B050szc;Formats ;;;;;;;;CODE
8#mm;8 mm;27/11/2012;;B;B 050 $c;B050szc;Formats ;;;;;;;;CODE
Bétacam;Bétacam;27/11/2012;;B;B 050 $c;B050szc;Formats ;;;;;;;;LISTE
Bétacam#SP;Bétacam SP;27/11/2012;;B;B 050 $c;B050szc;Formats ;;;;;;;;CODE
Bétamax;Bétamax;27/11/2012;;B;B 050 $c;B050szc;Formats ;;;;;;;;LISTE
BVU#SP;BVU SP;27/11/2012;;B;B 050 $c;B050szc;Formats ;;;;;;;;CODE
CD-V;CD-V;27/11/2012;;B;B 050 $c;B050szc;Formats ;;;;;;;;LISTE
DCC;DCC;27/11/2012;;B;B 050 $c;B050szc;Formats ;;;;;;;;LISTE
DV;DV;27/11/2012;;B;B 050 $c;B050szc;Formats ;;;;;;;;LISTE
DVCAM;DVCAM;27/11/2012;;B;B 050 $c;B050szc;Formats ;;;;;;;;LISTE
DVPRO;DVPRO;27/11/2012;;B;B 050 $c;B050szc;Formats ;;;;;;;;LISTE
e-card;e-card;27/11/2012;;B;B 050 $c;B050szc;Formats ;;;;;;;;LISTE
HI8;HI8;27/11/2012;;B;B 050 $c;B050szc;Formats ;;;;;;;;LISTE
LaserDisc;LaserDisc;27/11/2012;;B;B 050 $c;B050szc;Formats ;;;;;;;;LISTE
MacIntosh;MacIntosh;27/11/2012;;B;B 050 $c;B050szc;Formats ;;;;;;;;LISTE
MP3;MP3;27/11/2012;;B;B 050 $c;B050szc;Formats ;;;;;;;;LISTE
R-DAT;R-DAT;27/11/2012;;B;B 050 $c;B050szc;Formats ;;;;;;;;LISTE
souple;souple;27/11/2012;;B;B 050 $c;B050szc;Formats ;;;;;;;;LISTE
S-VHS;S-VHS;27/11/2012;;B;B 050 $c;B050szc;Formats ;;;;;;;;LISTE
U-matic;U-matic;27/11/2012;;B;B 050 $c;B050szc;Formats ;;;;;;;;LISTE
U-matic#SP;U-matic SP;27/11/2012;;B;B 050 $c;B050szc;Formats ;;;;;;;;CODE
V#2000;V 2000;27/11/2012;;B;B 050 $c;B050szc;Formats ;;;;;;;;CODE
VCR;VCR;27/11/2012;;B;B 050 $c;B050szc;Formats ;;;;;;;;LISTE
VHS;VHS;27/11/2012;;B;B 050 $c;B050szc;Formats ;;;;;;;;LISTE
Vidéo#CD;Vidéo CD;27/11/2012;;B;B 050 $c;B050szc;Formats ;;;;;;;;CODE
Zip;Zip;27/11/2012;;B;B 050 $c;B050szc;Formats ;;;;;;;;LISTE
EPUB;EPUB;06/02/2017;;B;B 256 $f, B856$f;B257zf;FormatNUM;lié à sous-zone B 856 $f;;;;;;;LISTE
FLAC;FLAC;06/02/2017;;B;B 256 $f, B856$f;B257zf;FormatNUM;lié à sous-zone B 856 $f;;;;;;;LISTE
FLASH;FLASH;06/02/2017;;B;B 256 $f, B856$f;B257zf;FormatNUM;lié à sous-zone B 856 $f;;;;;;;LISTE
HTML;HTML;06/02/2017;;B;B 256 $f, B856$f;B257zf;FormatNUM;lié à sous-zone B 856 $f;;;;;;;LISTE
JPEG;JPEG;06/02/2017;;B;B 256 $f, B856$f;B257zf;FormatNUM;lié à sous-zone B 856 $f;;;;;;;LISTE
MP3;MP3;06/02/2017;;B;B 256 $f, B856$f;B257zf;FormatNUM;lié à sous-zone B 856 $f;;;;;;;LISTE
PDF;PDF;06/02/2017;;B;B 256 $f, B856$f;B257zf;FormatNUM;lié à sous-zone B 856 $f;;;;;;;LISTE
PDF/A;PDF/A;06/02/2017;;B;B 256 $f, B856$f;B257zf;FormatNUM;lié à sous-zone B 856 $f;;;;;;;LISTE
PNG;PNG;06/02/2017;;B;B 256 $f, B856$f;B257zf;FormatNUM;lié à sous-zone B 856 $f;;;;;;;LISTE
TIFF;TIFF;06/02/2017;;B;B 256 $f, B856$f;B257zf;FormatNUM;lié à sous-zone B 856 $f;;;;;;;LISTE
WAV;WAV;06/02/2017;;B;B 256 $f, B856$f;B257zf;FormatNUM;lié à sous-zone B 856 $f;;;;;;;LISTE
collage;collage;;Image fixe;B;B 285$f;B285zf;Categorie technique;;;;;;;;LISTE
dessin;dessin;;Image fixe;B;B 285$f;B285zf;Categorie technique;;;;;;;;LISTE
estampe;estampe;;Image fixe;B;B 285$f;B285zf;Categorie technique;;;;;;;;LISTE
impression numérique;impression numérique;;Image fixe;B;B 285$f;B285zf;Categorie technique;;;;;;;;LISTE
impression photomécanique;impression photomécanique;;Image fixe;B;B 285$f;B285zf;Categorie technique;;;;;;;;LISTE
peinture;peinture;;Image fixe;B;B 285$f;B285zf;Categorie technique;;;;;;;;LISTE
photocopie;photocopie;;Image fixe;B;B 285$f;B285zf;Categorie technique;;;;;;;;LISTE
photographie négative;photographie négative;;Image fixe;B;B 285$f;B285zf;Categorie technique;;;;;;;;LISTE
photographie numérique;photographie numérique;;Image fixe;B;B 285$f;B285zf;Categorie technique;;;;;;;;LISTE
photographie positive;photographie positive;;Image fixe;B;B 285$f;B285zf;Categorie technique;;;;;;;;LISTE
photographie positive directe;photographie positive directe;;Image fixe;B;B 285$f;B285zf;Categorie technique;;;;;;;;LISTE
acier;acier;25/11/2009;Image Fixe;B;B 285 $k;B285zk;Matériau de la matrice;;;;;;;;LISTE
Altuglas. Voir : matériau plastique;Altuglas. Voir : matériau plastique;25/11/2009;Image Fixe;B;B 285 $k;B285zk;Matériau de la matrice;;;;;;;;LISTE
aluminium;aluminium;25/11/2009;Image Fixe;B;B 285 $k;B285zk;Matériau de la matrice;;;;;;;;LISTE
bois;bois;25/11/2009;Image Fixe;B;B 285 $k;B285zk;Matériau de la matrice;;;;;;;;LISTE
céramique;céramique;25/11/2009;Image Fixe;B;B 285 $k;B285zk;Matériau de la matrice;;;;;;;;LISTE
cuivre;cuivre;25/11/2009;Image Fixe;B;B 285 $k;B285zk;Matériau de la matrice;;;;;;;;LISTE
fer;fer;25/11/2009;Image Fixe;B;B 285 $k;B285zk;Matériau de la matrice;;;;;;;;LISTE
linoléum;linoléum;25/11/2009;Image Fixe;B;B 285 $k;B285zk;Matériau de la matrice;;;;;;;;LISTE
matériau plastique;matériau plastique;25/11/2009;Image Fixe;B;B 285 $k;B285zk;Matériau de la matrice;;;;;;;;LISTE
métal;métal;25/11/2009;Image Fixe;B;B 285 $k;B285zk;Matériau de la matrice;;;;;;;;LISTE
négatif sur papier;négatif sur papier;25/11/2009;Image Fixe;B;B 285 $k;B285zk;Matériau de la matrice;;;;;;;;LISTE
pellicule souple;pellicule souple;25/11/2009;Image Fixe;B;B 285 $k;B285zk;Matériau de la matrice;;;;;;;;LISTE
pierre;pierre;25/11/2009;Image Fixe;B;B 285 $k;B285zk;Matériau de la matrice;;;;;;;;LISTE
Plexiglas. Voir : matériau plastique;Plexiglas. Voir : matériau plastique;25/11/2009;Image Fixe;B;B 285 $k;B285zk;Matériau de la matrice;;;;;;;;LISTE
plomb;plomb;25/11/2009;Image Fixe;B;B 285 $k;B285zk;Matériau de la matrice;;;;;;;;LISTE
Rhodoïd. Voir : matériau plastique;Rhodoïd. Voir : matériau plastique;25/11/2009;Image Fixe;B;B 285 $k;B285zk;Matériau de la matrice;;;;;;;;LISTE
verre;verre;25/11/2009;Image Fixe;B;B 285 $k;B285zk;Matériau de la matrice;;;;;;;;LISTE
zinc;zinc;25/11/2009;Image Fixe;B;B 285 $k;B285zk;Matériau de la matrice;;;;;;;;LISTE
bois;bois;;Image fixe;B;B 285 $g;B285zg;Matériau du document ;;;;;;;;LISTE
calque;calque;;Image fixe;B;B 285 $g;B285zg;Matériau du document ;;;;;;;;LISTE
carton;carton;;Image fixe;B;B 285 $g;B285zg;Matériau du document ;;;;;;;;LISTE
